Real_Label,Predicted_Label
Mandarin,Mandarin
Arabic,Arabic
French,Portuguese
Portuguese,Portuguese
Mandarin,Mandarin
Mandarin,Mandarin
Portuguese,Portuguese
Portuguese,Spanish
Portuguese,Portuguese
Russian,Russian
Portuguese,Russian
Spanish,Spanish
Arabic,Arabic
Spanish,Spanish
Mandarin,Mandarin
German,Mandarin
Italian,Italian
French,French
Portuguese,Portuguese
Portuguese,Portuguese
Portuguese,Portuguese
German,German
Portuguese,Russian
Arabic,Arabic
Mandarin,Mandarin
Mandarin,Mandarin
Mandarin,Mandarin
Mandarin,Mandarin
Japanese,Spanish
Spanish,Spanish
French,French
Portuguese,Spanish
Mandarin,Mandarin
German,German
Mandarin,Mandarin
Turkish,Turkish
Italian,Spanish
French,French
Mandarin,Mandarin
Spanish,Spanish
Spanish,Spanish
Portuguese,Spanish
Mandarin,Mandarin
Italian,Italian
Arabic,Arabic
Mandarin,Mandarin
German,Russian
Arabic,German
Italian,Portuguese
Spanish,Spanish
Portuguese,Italian
Russian,Russian
Spanish,Portuguese
Russian,Russian
Arabic,Russian
Portuguese,Portuguese
German,Portuguese
Mandarin,Mandarin
Russian,Russian
Mandarin,Mandarin
Spanish,Spanish
Mandarin,Mandarin
French,Portuguese
German,German
Mandarin,Mandarin
French,French
Portuguese,Portuguese
Russian,Russian
Italian,Spanish
Italian,Italian
Mandarin,Mandarin
French,Italian
Arabic,Mandarin
Spanish,Spanish
Russian,Mandarin
Portuguese,Portuguese
Portuguese,Portuguese
Portuguese,German
Arabic,Arabic
French,French
Arabic,Arabic
Portuguese,Portuguese
German,German
Portuguese,Spanish
Italian,Italian
Italian,Italian
Japanese,Mandarin
Portuguese,Portuguese
Spanish,Spanish
Spanish,Spanish
Arabic,Spanish
Russian,Turkish
Portuguese,Italian
Spanish,Spanish
Russian,Russian
Mandarin,Mandarin
German,Mandarin
Arabic,Arabic
Spanish,Spanish
Portuguese,Spanish
Portuguese,Portuguese
Portuguese,Portuguese
Mandarin,Mandarin
French,Spanish
French,French
German,Portuguese
Spanish,Spanish
Spanish,Spanish
Portuguese,Spanish
Arabic,French
Russian,Russian
Spanish,Spanish
Italian,Italian
Spanish,Arabic
Russian,Russian
Russian,Russian
Portuguese,Mandarin
Spanish,Spanish
Mandarin,Mandarin
Portuguese,Spanish
Mandarin,Mandarin
Italian,Italian
Japanese,Japanese
Portuguese,Portuguese
Mandarin,Spanish
Portuguese,Portuguese
Portuguese,Spanish
French,Mandarin
Italian,Spanish
German,German
Spanish,Spanish
German,German
Italian,Italian
Portuguese,Portuguese
Spanish,Spanish
Russian,Russian
Mandarin,Mandarin
Mandarin,Mandarin
Russian,Mandarin
Portuguese,Portuguese
Italian,Portuguese
Italian,Portuguese
Japanese,Japanese
Russian,Russian
Portuguese,French
Turkish,Mandarin
Russian,Arabic
Portuguese,Portuguese
Italian,Italian
Portuguese,Mandarin
French,German
Mandarin,Mandarin
German,Mandarin
Spanish,Spanish
Mandarin,Mandarin
Russian,Spanish
Spanish,Spanish
Portuguese,Spanish
Italian,Russian
Russian,Russian
Russian,Russian
Arabic,Arabic
German,German
German,German
Mandarin,Mandarin
Russian,Russian
Italian,Spanish
Arabic,Spanish
Italian,Italian
Turkish,Russian
Japanese,Mandarin
German,German
French,French
Portuguese,Spanish
Russian,Russian
Mandarin,Mandarin
German,German
Spanish,Spanish
Arabic,Arabic
Spanish,Spanish
Italian,Italian
Arabic,Arabic
Italian,Italian
Russian,Russian
Japanese,Japanese
Portuguese,Japanese
German,German
Mandarin,Mandarin
Spanish,Mandarin
Spanish,Mandarin
Spanish,Spanish
Spanish,Portuguese
Russian,Russian
Spanish,Mandarin
