Real_Label,Predicted_Label
French,French
Italian,Spanish
Russian,Mandarin
Russian,Russian
Russian,Russian
Italian,Portuguese
Russian,Russian
Spanish,German
Russian,Mandarin
German,Russian
Spanish,Spanish
Spanish,Italian
Italian,Italian
German,German
Portuguese,Portuguese
Arabic,Arabic
French,French
Spanish,Spanish
Russian,Russian
Russian,Russian
French,French
Turkish,Turkish
Mandarin,Mandarin
French,French
Mandarin,Portuguese
German,German
Russian,Russian
Portuguese,Portuguese
Spanish,Spanish
French,Arabic
Italian,Spanish
Portuguese,Portuguese
German,German
French,Spanish
French,Spanish
Mandarin,Mandarin
Mandarin,Mandarin
Mandarin,Russian
Spanish,Spanish
Portuguese,Portuguese
Turkish,Arabic
Portuguese,Portuguese
Spanish,Spanish
Russian,Russian
Russian,Arabic
Turkish,Spanish
French,French
Japanese,Japanese
Arabic,Mandarin
Arabic,Arabic
French,Italian
Mandarin,Mandarin
Mandarin,Mandarin
Spanish,Portuguese
Portuguese,Spanish
Russian,Russian
French,Russian
Italian,Italian
Mandarin,Mandarin
Mandarin,Mandarin
Spanish,Spanish
French,French
Mandarin,Mandarin
Portuguese,French
Arabic,Spanish
Portuguese,Spanish
Italian,Italian
Spanish,Spanish
German,German
Italian,Italian
German,Mandarin
Mandarin,Mandarin
German,Mandarin
Portuguese,Portuguese
Spanish,Spanish
Arabic,Arabic
German,German
German,German
Portuguese,German
German,Russian
Portuguese,Mandarin
German,German
French,French
French,Italian
Arabic,Arabic
Portuguese,Portuguese
Spanish,Spanish
Arabic,Arabic
Portuguese,Portuguese
German,German
Italian,Portuguese
Portuguese,Spanish
Spanish,Spanish
Spanish,Spanish
Portuguese,Portuguese
Arabic,Arabic
Russian,Russian
Japanese,Japanese
Italian,German
Japanese,Mandarin
Italian,Mandarin
French,Mandarin
French,French
Portuguese,Spanish
Japanese,Japanese
Portuguese,Portuguese
Portuguese,Portuguese
Italian,Italian
French,German
Mandarin,Mandarin
Mandarin,Mandarin
Portuguese,Portuguese
Portuguese,Spanish
Mandarin,Mandarin
Mandarin,Mandarin
Russian,Russian
Spanish,Italian
Spanish,Spanish
Portuguese,Portuguese
Mandarin,Mandarin
German,Portuguese
Spanish,Spanish
Portuguese,Portuguese
Mandarin,Mandarin
Spanish,Spanish
Spanish,Spanish
Portuguese,Portuguese
Portuguese,Portuguese
Mandarin,Mandarin
Russian,Russian
Portuguese,Spanish
Russian,Russian
Russian,Russian
Spanish,Spanish
Portuguese,Portuguese
Portuguese,Spanish
Spanish,Spanish
Turkish,Turkish
Mandarin,Spanish
Mandarin,Mandarin
Mandarin,Spanish
Spanish,Spanish
German,Italian
Arabic,Arabic
Russian,Italian
Mandarin,Mandarin
French,French
Arabic,Arabic
Spanish,Portuguese
Portuguese,German
German,German
Spanish,Spanish
Russian,Spanish
Arabic,Arabic
German,German
Russian,Russian
French,Portuguese
Russian,Russian
Russian,French
Portuguese,Spanish
Mandarin,Mandarin
French,French
Portuguese,Spanish
Italian,Italian
Mandarin,Mandarin
Spanish,Spanish
Mandarin,Mandarin
Mandarin,Mandarin
German,Mandarin
Japanese,Japanese
German,German
Mandarin,Russian
Portuguese,Spanish
Arabic,Mandarin
Arabic,Arabic
German,German
Spanish,Spanish
Portuguese,Spanish
Arabic,Spanish
Spanish,French
Russian,Russian
Russian,Russian
Spanish,Spanish
Russian,Russian
Portuguese,Portuguese
Japanese,Mandarin
Spanish,Spanish
Russian,Russian
Portuguese,Portuguese
Turkish,Turkish
Portuguese,Portuguese
Mandarin,Mandarin
Japanese,Italian
Japanese,Japanese
Turkish,Turkish
French,Italian
Russian,Russian
Spanish,Spanish
Portuguese,Portuguese
Mandarin,Mandarin
French,Mandarin
Spanish,Spanish
Portuguese,Portuguese
Spanish,Spanish
Portuguese,Portuguese
French,Italian
Italian,Italian
Russian,Arabic
Arabic,Arabic
German,German
Portuguese,Italian
Spanish,Spanish
German,German
Mandarin,Mandarin
Russian,Russian
Spanish,Spanish
Spanish,Spanish
Russian,Russian
