Real_Label,Predicted_Label
Spanish,Spanish
Russian,Russian
Russian,German
Arabic,Arabic
Mandarin,Mandarin
Spanish,Spanish
Spanish,Spanish
French,Spanish
Arabic,Arabic
German,German
German,German
Arabic,Arabic
Portuguese,Spanish
Russian,Russian
Spanish,Spanish
Japanese,Japanese
Portuguese,Portuguese
Portuguese,Russian
Russian,Russian
German,Russian
Japanese,Arabic
Turkish,Turkish
French,Portuguese
Japanese,Japanese
German,German
Spanish,Spanish
Arabic,Mandarin
Spanish,Italian
Spanish,Spanish
Italian,Russian
Portuguese,Portuguese
Russian,Russian
Portuguese,Portuguese
Mandarin,Mandarin
Mandarin,Mandarin
German,German
Portuguese,Spanish
Italian,Russian
Mandarin,Mandarin
Mandarin,Mandarin
Italian,Italian
Italian,Italian
Russian,Russian
Russian,Russian
Italian,Spanish
Portuguese,Portuguese
French,French
German,German
Portuguese,Portuguese
German,German
Mandarin,Mandarin
Arabic,Portuguese
Spanish,Spanish
Spanish,Spanish
French,Italian
Russian,Russian
German,German
Portuguese,Japanese
German,German
Russian,Russian
French,Italian
Spanish,Spanish
Portuguese,Portuguese
Portuguese,Portuguese
Italian,Portuguese
Russian,Russian
Arabic,Arabic
French,French
Russian,Russian
Portuguese,Russian
Spanish,Spanish
Japanese,Russian
Portuguese,Spanish
Mandarin,Mandarin
Japanese,Mandarin
French,French
German,German
German,German
Italian,German
Mandarin,Mandarin
Portuguese,Portuguese
Portuguese,Portuguese
Mandarin,Mandarin
Portuguese,Portuguese
Russian,Russian
Italian,Italian
Italian,Italian
Russian,Russian
Mandarin,Mandarin
Japanese,Japanese
Mandarin,Mandarin
Russian,Russian
Spanish,Spanish
Mandarin,Mandarin
Mandarin,Mandarin
Turkish,Turkish
Japanese,Japanese
Portuguese,Russian
Arabic,Arabic
Mandarin,Mandarin
Mandarin,Mandarin
Spanish,Spanish
German,German
Mandarin,Mandarin
Italian,French
Mandarin,Mandarin
Mandarin,Mandarin
Portuguese,Spanish
Portuguese,Mandarin
Japanese,Mandarin
German,German
Portuguese,Portuguese
Arabic,Arabic
Spanish,Spanish
Spanish,Spanish
Italian,Italian
German,Mandarin
German,German
Spanish,Arabic
Mandarin,Mandarin
Turkish,Japanese
Russian,Russian
Italian,Italian
Russian,Portuguese
Portuguese,Portuguese
Italian,Italian
Turkish,Turkish
Portuguese,Italian
Russian,Mandarin
Portuguese,Portuguese
Italian,Italian
Arabic,Arabic
Spanish,Spanish
French,Mandarin
German,German
Spanish,Spanish
Spanish,Arabic
Russian,Spanish
Japanese,Japanese
Italian,French
German,Spanish
Portuguese,Portuguese
Mandarin,Mandarin
Mandarin,Mandarin
Mandarin,Mandarin
Mandarin,Mandarin
Japanese,Japanese
Russian,Russian
Mandarin,Japanese
Portuguese,Russian
Russian,Russian
Russian,Arabic
French,Spanish
Mandarin,Mandarin
Spanish,Spanish
German,German
Arabic,Arabic
Portuguese,Portuguese
Mandarin,Mandarin
German,German
Russian,Turkish
Portuguese,Portuguese
Portuguese,Portuguese
Arabic,Mandarin
German,German
Spanish,Spanish
Russian,Russian
Portuguese,Portuguese
Mandarin,Mandarin
Arabic,Arabic
Portuguese,Italian
Portuguese,Portuguese
German,German
Mandarin,Mandarin
Portuguese,Italian
Russian,Russian
Spanish,Russian
Russian,Russian
German,German
Portuguese,Portuguese
Arabic,Arabic
Spanish,Portuguese
Mandarin,Mandarin
Arabic,Italian
Russian,Russian
Russian,Russian
Turkish,Russian
Italian,Russian
German,German
French,German
Mandarin,Mandarin
Russian,Russian
Spanish,Spanish
Portuguese,Portuguese
Spanish,Spanish
Portuguese,Spanish
Arabic,Arabic
Mandarin,Mandarin
French,French
Italian,Portuguese
Arabic,Arabic
Mandarin,Russian
Spanish,German
Japanese,Japanese
Mandarin,Mandarin
German,German
French,German
French,Japanese
Italian,Italian
Russian,Russian
Spanish,Spanish
Spanish,Spanish
Portuguese,Spanish
Spanish,Russian
Mandarin,Mandarin
Mandarin,Mandarin
Italian,Italian
Spanish,Spanish
Spanish,French
Italian,Portuguese
Italian,Italian
Spanish,Portuguese
Japanese,Japanese
German,German
Portuguese,Portuguese
Mandarin,Mandarin
Spanish,Spanish
Portuguese,Spanish
Portuguese,Portuguese
French,French
Italian,Mandarin
Spanish,Spanish
Arabic,Arabic
